Full TOI ID,Label,Flux1,Flux2,Flux3,Flux4,Flux5,Flux6,Flux7,Flux8,Flux9,Flux10,Flux11,Flux12,Flux13,Flux14,Flux15,Flux16,Flux17,Flux18,Flux19,Flux20,Flux21,Flux22,Flux23,Flux24,Flux25,Flux26,Flux27,Flux28,Flux29,Flux30,Flux31,Flux32,Flux33,Flux34,Flux35,Flux36,Flux37,Flux38,Flux39,Flux40,Flux41,Flux42,Flux43,Flux44,Flux45,Flux46,Flux47,Flux48,Flux49,Flux50,Flux51,Flux52,Flux53,Flux54,Flux55,Flux56,Flux57,Flux58,Flux59,Flux60,Flux61,Flux62,Flux63,Flux64,Flux65,Flux66,Flux67,Flux68,Flux69,Flux70,Flux71,Flux72,Flux73,Flux74,Flux75,Flux76,Flux77,Flux78,Flux79,Flux80,Flux81,Flux82,Flux83,Flux84,Flux85,Flux86,Flux87,Flux88,Flux89,Flux90,Flux91,Flux92,Flux93,Flux94,Flux95,Flux96,Flux97,Flux98,Flux99,Flux100,Flux101
1028.01,0,1.039795257,0.869297962,1.139746855,0.99967986,0.729510797,1.063939865,0.777672866,0.995437956,1.128939315,0.88069168,0.935558177,1.344434952,0.827232831,1.123576277,0.855536232,1.226251992,0.960532145,0.983452117,1.079916593,1.1305397,1.32746412,0.983251709,0.965044899,1.089563435,1.08704981,0.881843648,1.063561569,0.922274717,0.986466009,1.162004293,1.108413861,1.295130095,1.134343483,1.414511581,0.708260271,1.44063229,1.413451765,1.067933276,1.306632572,1.332192839,1.164334255,1.123520126,1.122814421,0.570573585,0.637475683,0.351357161,0.853699353,0.054992535,-0.317125782,-0.287186739,-0.575156648,-0.446776805,-0.333885747,-1,-0.809223266,-0.999490272,-0.668203158,-0.549336992,-0.365055532,-0.203339239,-0.044717078,0.123665897,0.357363648,0.413536872,0.511817525,0.393645211,0.800440952,0.980203923,1.127253317,0.876615869,1.067311257,0.707803239,1.083815658,0.843908083,1.187672834,0.875143513,1.204519459,1.210164013,0.852221397,1.021967228,0.910703479,1.237889572,0.949756791,1.033830022,0.956881292,1.038450937,1.026508841,1.114454967,0.997484098,0.766567769,0.887289168,1.231278789,0.944640782,1.022930642,0.937294237,0.903675411,1.024267382,1.087788933,0.839336862,1.06803658,1.28193232
1061.01,0,0.856534954,0.282661503,0.810682648,0.721357054,1.104021776,1.157237777,0.686229675,0.990677659,1.464547365,0.759090326,1.324358647,0.182550834,0.697397475,1.386864008,0.340591091,0.473336274,0.55188636,0.823742976,0.548956796,0.770511237,1.381089222,1.133401474,1.514913202,0.678685552,0.450972928,1.442475795,0.717731832,1.717851567,0.708925463,1.953360343,-0.10224946,1.841434363,-0.048277423,0.371364683,1.210880744,1.146830807,1.027937371,0.884271672,1.73490903,0.868686593,1.450397845,0.493923914,1.183589399,1.580657922,0.245387696,0.185961216,0.445222481,0.509526011,-0.330149463,0.313753781,-0.236526934,-1,-0.933405633,-0.721908234,-0.309928832,-0.170576094,0.755063191,1.219987856,1.082281604,0.91613913,0.397539471,1.356013604,0.40019796,0.903741779,0.313936783,0.050326447,1.144199571,1.278912536,1.238531265,1.410596078,0.936534557,1,0.819099012,0.503208359,1.560114038,1.635372625,1.049660137,0.097369744,0.541786834,1.868426071,1.393016418,1.637780679,0.934714157,1.302696738,1.101120451,0.863375107,0.58998161,1.275585992,1.018650291,1.431010278,1.357103262,0.972567383,1.261777251,0.572635538,0.591052747,1.961948094,1.422047336,0.766509231,0.890296778,0.893868114,1.09178637
1073.01,1,0.701979528,1.068483807,1.009422324,1.093316892,0.906902383,0.791294574,0.874211634,0.667205695,1.158957821,0.888785993,0.975849309,0.898734751,0.844517589,0.976966444,0.950152903,0.985105689,0.890398616,0.958927894,0.928039669,1.005179914,1.207117123,0.869306745,1.030153171,0.853165705,1.367529426,1.004436426,1.071740096,0.917185907,1.000277116,1.222229916,0.832509072,0.825336601,1.337416222,1.033676986,1.092092771,0.722620159,0.887305064,0.976514738,0.925934182,0.875065909,0.904218159,1.081594076,1.251414871,0.911030339,1.061572896,0.516843396,0.357708828,-0.143104599,-0.480788358,-1,-0.426415958,-0.500740621,-0.336028983,-0.140978388,0.000346301,0.477757206,1.096743365,1.043921239,0.8614149,0.846371952,0.99992075,0.813319365,0.948815831,0.975600934,1.011427084,0.860248278,1.165408025,0.973324875,0.831235368,1.007568019,1.209585247,1.005077515,0.950760161,0.880534008,1.007909119,0.802178515,1.096353078,0.852723865,1.243449006,0.983484196,1.148432535,1.070040986,0.973173375,1.021134748,0.654584922,0.699639059,0.922106572,1.080875454,1.032180266,1.045765145,1.027138005,0.814282621,0.727085109,1.372967707,0.913189213,1.076940969,0.78200892,1.058987544,1.475806614,1.106122283,1.155164266
1085.01,0,0.998099097,0.995528001,0.98189906,1.035642679,0.94621829,1.012613755,0.986711948,1.025505139,0.987844771,0.98798343,1.010259708,1.034459653,0.990574182,0.979843753,1.005875444,0.988126726,1.014092557,1.019067436,0.985836196,0.960142633,1.059455738,0.990347807,0.907182853,1.01589675,1.061620084,0.979876496,0.988934728,1.019773266,0.977284591,0.986794384,0.993355514,1.053076294,1.071996919,1.096535175,1.064459032,1.107216663,1.086634158,1.019514268,1.100273264,0.99041545,0.923043366,1.090045607,1.031655134,1.057925783,0.898877433,-0.015365773,-0.725429159,-0.948802626,-0.901271441,-0.976041972,-1,-0.951984736,-0.9245003,-0.97345583,-0.690427075,-0.009343855,0.902014414,0.929510705,0.962899367,0.997185087,1.052577308,1.004711623,1.004855882,1.0612185,0.967114658,0.975698783,0.993166425,0.971458162,0.967398482,1.035626296,1.022286732,1.010025589,0.993728093,0.955349486,0.979997749,1.000792246,1.022481723,1.013623077,1.009257102,1.023282709,1.066776713,1.009111851,0.984922082,0.980706047,1.015781706,1.072803871,0.939287634,0.979616278,1.026171575,0.93869368,1.065114929,1.015353746,1.013148473,0.975831557,1.00437082,0.932882562,1.006508769,1.013218542,0.921934381,0.993222417,1.022021892
1127.01,0,0.988363644,1.005003213,1.014737313,1.007407763,0.974712734,0.969750019,1.029362005,0.987510489,0.971723581,0.972210422,0.989800283,0.992824316,0.990962124,1.037002001,0.955011331,0.949766435,0.99146671,1.015477015,1.000038543,0.998603733,0.979789216,0.987431013,1.051391749,1.009153437,0.984562453,0.986676108,1.018151871,0.985028881,0.99173857,0.984446453,0.972536163,1.015747311,1.008847642,0.995380976,1.000929572,1.018964078,1.008367051,1.041789036,1.03739692,1.030037226,0.98316748,0.995246012,0.958933255,0.761212688,0.553817981,0.375755819,0.003063253,-0.264298881,-0.606182409,-0.846274464,-1,-0.950467083,-0.815781759,-0.607136387,-0.301441415,0.025675899,0.297560315,0.595316952,0.812028378,0.908122382,0.985240571,1.008263162,1.020813144,1.013993227,1.003409926,0.991943656,1.008495371,1.013679186,1.011876504,1.008107746,0.962371551,1.014893005,1.028430074,0.988323938,1.021450535,0.982623361,1.021024475,1.021411704,0.963542126,0.993154308,1.016310876,1.023698774,0.94375636,0.993174245,1.041269155,1.012062788,1.020442829,0.999030363,1.005081167,1.011170238,0.996780319,0.969688751,1.029249411,1.000271534,1.032269648,0.968602575,0.983514064,1.02011266,1.000426715,0.994782761,0.971472001
1132.01,0,0.695134463,1.68813562,1.198433173,0.574213827,0.420716676,1.606190541,1.684256631,0.859520687,0.098209825,0.803743593,0.496259436,0.450981971,1.368561899,1.167702544,0.758398771,1.275922579,0.108505726,0.636776538,0.754843324,1.225979689,0.689133907,0.941510256,1.405882237,0.813504688,1.030418989,0.644983588,0.316686222,1.209871705,0.466299454,0.755607921,1.133969747,1.14482566,0.786121262,0.862079899,0.958713338,1.378940055,0.197577633,0.813640705,0.613687303,0.631758636,1.071971208,1.744670666,1.531863308,0.709662371,0.61612346,0.297769271,0.342441687,-0.578904747,-1,0.302400947,-0.040636502,0.306999752,-0.749418332,-0.058333846,0.319081998,1.264133574,1.07785856,1.621475997,1.339686295,1.034778007,1.751358412,1.603736505,2.202633338,1.655981063,0.974687716,1.109867773,1.652187706,1.468028855,0.855191766,1.427993698,0.857263297,1.154264903,1.139099728,-0.231163529,0.093503078,0.886628196,0.972832177,0.817069565,1.513465397,1.227405288,0.52803536,1.292212664,0.859295574,0.842855712,0.460674032,2.005305755,0.283062737,0.617716154,1.128368458,1.460588254,-0.426262197,1.116953673,1.25456885,1.05937419,0.893513396,0.329091189,1.578675213,-0.388075372,1.409996521,0.509067374,1.665517837
1140.01,0,1.000125909,1.023164565,0.941818716,1.069490888,0.963443439,1.068221199,0.976711231,0.881819358,0.940645779,1.04884029,1.030596393,1.072653393,0.968494087,0.983412875,0.970282857,0.981078672,1.029186317,0.958953086,0.903229783,1.174635916,1.041584683,1.046194369,0.893676409,0.919486507,0.945231665,1.085140415,0.89321823,0.978998307,1.012562805,0.982878722,1.035438984,1.110847944,1.063376278,1.036364895,1.100181753,0.940283994,1.020185897,1.116732127,1.072028356,0.936239176,1.068149028,0.935292919,0.921645095,1.152752179,1.054340555,0.86776243,1.001055636,0.872198768,0.763573198,0.74932188,0.418773738,0.573893989,0.406284649,-0.241813558,-0.716059614,-0.431095964,-0.653520777,-0.697515268,-0.630761577,-1,-0.676773899,-0.475451874,-0.333237516,-0.746462756,0.127879214,-0.046643482,0.516018532,0.576368923,0.639755875,0.620812397,0.848247296,0.835319402,1.012467017,1.063207458,0.923814891,1.026631488,0.977587019,0.80413883,0.823803743,1.036266643,1.113777111,1.018256144,0.901963527,1.02398263,1.056328361,1.005100084,0.998645908,1.027989928,0.903904974,0.872774166,1.01777203,1.213527805,0.981239019,0.992977423,1.001039067,0.915377231,1.193761953,0.95421364,0.941768563,1.048609822,0.982057004
1141.01,0,1.012134084,1.012794167,1.001723117,1.000471654,1.00585059,1.00719241,0.998419693,0.99421352,1.00306393,1.003406288,0.985654106,1.005731655,0.997307893,1.009484233,0.992133841,1.005107463,1.003685346,0.994432393,1.009828771,0.984224513,1.008897687,1.000217896,1.015248839,0.987127769,0.984250024,1.003301447,1.005448113,1.002565611,0.997433032,1.006290946,1.006234335,1.009769895,1.007647763,1.013166544,1.003491653,1.006100819,0.998113477,1.010004522,0.997864631,0.977005392,0.987042833,0.981922511,0.979891577,0.995938837,0.911477924,0.510222183,-0.088739548,-0.718335709,-0.981982071,-0.991665916,-0.982808927,-0.977981655,-1,-0.896079492,-0.385014791,0.245709012,0.814050924,0.9867184,0.997984995,0.993922187,1.013386207,1.010593838,1.01474476,1.020698587,1.005122682,0.999855023,1.012060984,0.992714076,1.003315751,1.00227679,1.010080215,1.000359863,1.000838159,1.003526589,0.996365116,0.999053739,0.99686178,0.99413473,1.004247783,1.000948817,1.017880859,0.990329872,0.993353567,1.010111696,0.97675894,0.996823137,1.00942344,0.995749159,1.002813352,1.000152249,1.009353559,1.000069002,1.013241485,0.991037448,1.011120882,0.993942164,1.002051629,0.991190865,1.007666057,1.001500016,1.008364945
1153.01,0,0.981210777,0.771519441,1.082848108,0.987709127,0.91553836,1.025129238,0.990961439,0.900215325,1.043001701,1.089346167,1.01656662,1.007557027,0.97998885,1.046004705,1.102025401,0.983637079,1.048442728,1.117414009,1.076468584,1.172475615,0.942841869,1.026094393,0.755726112,1.077504617,0.821815972,0.958922447,0.906419851,0.865346673,1.058927479,0.914876416,1.123642676,0.9880118,0.782954394,0.863475251,1.185042336,1.116243914,0.83611547,0.991085136,1.283747361,1.09900844,1.088806322,0.851748833,0.523259641,0.443927295,0.071709543,-0.509149735,-0.747702826,-0.888414329,-0.816547931,-0.899667402,-1,-0.57801573,-0.699636198,-0.507360116,-0.261110528,0.012097117,0.526890895,0.583940254,1.056299337,0.988816046,0.854268352,1.122256819,0.816932074,0.854664279,0.82179797,0.884815475,0.85922302,0.95574541,0.909464138,0.893916675,1.19313912,0.934032354,1.052666773,1.032863228,1.094350577,0.883222935,0.954881352,1.082639095,1.056469034,0.981939787,1.035533761,1.016386449,0.883168589,1.257177691,0.764058054,1.033538121,0.971877112,0.868257353,1.004279463,1.153725982,1.126393009,0.925278886,0.954611388,0.84860693,1.121257093,0.953308031,1.027754127,1.013935342,1.06700131,1.105579432,0.798168488
1179.01,0,0.901855299,1.02060308,0.982613504,0.931889721,0.999483044,1.082982306,1.134583863,0.903822075,0.963021496,1.086144838,0.939765754,1.169087487,0.963159521,1.093597155,1.049701515,0.933523064,1.046887822,1.036129347,0.935609544,0.844616661,1.008738325,0.876028386,0.959618687,1.08971959,1.009745924,0.981113071,1.009350581,0.93038528,1.029342176,1.121803951,1.067391265,0.956335243,1.03010345,1.032905202,0.915918503,0.906476795,0.984384669,1.009447776,1.123330352,0.984164654,0.984075865,1.085270677,1.067699782,0.995492711,0.9283062,0.970391016,0.541948781,0.432710108,0.020853057,0.1045758,-0.478150617,-0.77886977,-0.90654461,-0.861331207,-1,-0.465898715,-0.154878722,0.041529986,0.245879773,0.499071864,0.730177974,1.061099582,0.863167003,1.009146342,1.081419393,0.967371099,0.9889958,1.01449275,1.050110128,0.92614118,1.107814972,0.899513395,0.914962968,1.085952702,1.178492899,0.948768361,1.027552267,1.082565802,0.991165448,1.057959201,1.018490655,0.997854599,0.867428108,0.98260674,1.067914327,1.113641847,0.898704327,0.956514629,0.941455674,0.826925624,0.962885284,1.090033714,0.939038745,1.05910539,1.106921293,0.987145143,0.929043349,0.838031672,0.998669697,0.949265106,1.076382297
