Full TOI ID,Label,pl_trandep,st_tmag,st_dist,st_teff,st_logg,st_rad
1028.01,0,0.000880417,0.211726015,0.018597164,0.301896733,0.917127008,0.189551682
1061.01,0,0.000550225,0.349973539,0.104169241,0.448366702,0.82472016,0.350196732
1073.01,1,0.084989118,0.647501323,0.235190588,0.258517738,0.860509442,0.287199518
1085.01,0,0.031212923,0.4953731,0.347358046,0.54970144,0.831132293,0.366434992
1127.01,0,0.006213808,0.167150525,0.139032861,0.930189673,0.762010389,0
1132.01,0,0.000657967,0.311778937,0.224237921,0.856866877,0.808545375,0.522703122
1140.01,0,0.008615058,0.283707568,0.096489624,0.521513874,0,0.393463339
1141.01,0,0.027037894,0.283276631,0.076140753,0.51329473,0.847324529,0.321060341
1153.01,0,0.00373607,0.249485144,0.115091403,0.624569688,0.816301205,0.484916281
1179.01,0,0.006550999,0.379972783,0.06761837,0.343501915,0.886103684,0.222614952
118.01,1,0.003898812,0.307976109,0.073663301,0.459079733,0.846864996,0.3094862
1183.01,0,0.032490857,0.366099645,0.088287795,0.372954004,0,0.305778454
120.01,1,0.005486371,0.151266349,0.062241534,0.440340675,0.730987065,0.714469112
1229.01,0,0.027199954,0.428940803,0.199141121,0.5368528,0.768213115,0.571219736
123.01,1,0.00730853,0.209463975,0.126327235,0.564805058,0.828256819,0.378778828
125.01,1,0.002287458,0.3850533,0.086872756,0.383210397,0.866853711,0.25826991
125.02,1,0.002260375,0.3850533,0.086872756,0.383210397,0.866853711,0.25826991
1250.01,0,0.001221406,0.13529901,0.051910655,0.637688795,0.860509442,0.454823516
1256.01,0,0.060393787,0.639253043,0,0,1,0.044858554
127.01,1,0.12811973,0.682029183,0.109687033,0.079381805,0.860509442,0.287199518
1270.01,0,0.103907512,0.480653209,0.133867851,0.366104689,0.878347853,0.237817858
1276.01,0,0.021012812,0.56211537,0.019180779,0.030382859,0.978070388,0.060672908
1284.01,0,0.004494336,0.561419823,0.08623681,0.155075518,0.908399759,0.160944025
1285.01,0,0.002800418,0.44045513,0.032848147,0.097295399,0.913452683,0.1522818
1286.01,0,0.001787348,0.382543283,0.218060716,0.635054443,0.811550759,0.449929636
1289.01,0,0.007376741,0.596733953,0.06978625,0.083245522,0.938341144,0.110919326
131.01,0,0.021049143,0.359212217,0,0.211099403,0.841889631,0.259371033
1338.01,1,0.005769698,0.482550843,0.312119742,0.483175306,0.698024784,0.888175996
1340.01,0,0.004363546,0.430808195,0.163239493,0.519318581,0.869186278,0.283633361
135.01,1,0.023259823,0.311113631,0.153981899,0.687741482,0.820985727,0.444556133
136.01,1,0.010790963,0.515491041,0.011643057,0.012469266,0.988300329,0.051408714
138.01,0,0.008569728,0.337831708,0.100506097,0.482964524,0.844575087,0.319133232
1409.01,0,0.006429354,0.247297195,0.065106187,0.551457675,0,0.786926678
141.01,1,0.000464692,0.172268844,0.03761571,0.495835975,0.860509442,0.34161521
1412.01,0,0.009760273,0.453186664,0.063410252,0.219784017,0.895302099,0.189789196
1418.01,0,0,0.12566266,0.125990097,0.966455919,0.741123936,0.846850857
1421.01,0,0.108194884,0.408452408,0.467247597,0.493150685,0.860509442,0.287199518
1429.01,0,0.002337575,0.494480986,0.340465891,0.506260959,0.80005274,0.423021913
144.01,1,0.000625062,0,0.014291346,0.523006674,0.860509442,0.287199518
1457.01,0,0.006061569,0.151893853,0.032265236,0.600807868,0,0
1460.01,0,0.018749763,0.363816436,0.117413037,0.490691956,0.860509442,0.324018496
1461.01,0,0.046528235,0.474415967,0.281567729,0.539866526,0.827797286,0.369134668
1608.01,0,0.006774451,0.175604445,0.078718877,0.541921355,0.744559769,0.611166317
1635.01,0,0.238240893,0.630475542,0.070143068,0.092026695,0.950089289,0.111777765
1637.01,0,0.024181977,0.419029258,0.292896645,0.62512117,0.802168143,0.471874551
1644.01,0,0.015157914,0.356460271,0.12788542,0.535124693,0.860509442,0.354975732
1645.01,0,0.041304899,0.313585091,0.114715154,0.566561293,0.829703281,0.376050432
1688.01,0,0.022643901,0.430536025,0.36975931,0.504214963,0.720846316,0.675751745
1729.01,0,1,1,0.118415062,0.493150685,0.860509442,0.287199518
174.01,1,0.001645636,0.275640735,0.030533319,0.323322796,0.849263487,0.210917028
174.02,1,0.001433164,0.275640735,0.030533319,0.323322796,0.849263487,0.210917028
175.01,1,0.004114857,0.325623346,0.008306725,0.087284861,0.95786451,0.089893449
175.02,1,0.003814931,0.325623346,0.008306725,0.087284861,0.95786451,0.089893449
175.03,1,0.001522456,0.325623346,0.008306725,0.087284861,0.95786451,0.089893449
180.01,0,0.00617884,0.333628185,0.207069719,0.546188971,0.732255144,0.656733393
182.01,0,0.021732345,0.341543812,0.093036037,0.456094134,0.837755773,0.325977196
184.01,0,0.054466253,0.373319725,0.193553711,0.598524763,0.823770071,0.403446394
187.01,0,0.013016668,0.302752022,0.144342582,0.659114858,0.813454815,0.454688532
188.01,0,0.000745236,0.329734634,0.164901714,0.591552477,0.810484332,0.46100405
189.01,0,0.013106196,0.389990172,0.142269694,0.541271514,0.852009051,0.320916741
200.01,1,0.008231774,0.207809783,0.034466407,0.428872497,0.860509442,0.34276688
207.01,0,0.109760091,0.632645347,0.758368598,0.525289779,0.835946725,0.347583216
211.01,0,0.004711689,0.331533984,0.094899915,0.50965406,0.843799504,0.312676987
216.01,1,0.041945206,0.489105617,0.139192434,0.360690204,0.904229061,0.205407393
216.02,1,0.00845226,0.489105617,0.139192434,0.360690204,0.904229061,0.205407393
217.01,0,0.001065103,0.274408407,0.111089557,0.58061117,0.791391415,0.479611706
219.01,0,0.049524986,0.575852423,0.884810037,0.593958553,0.823033267,0.403239611
236.01,0,0.054522275,0.467815831,0.393400396,0.605813137,0.81242329,0.423501537
242.01,0,0.058771664,0.564844636,0.451724408,0.546364594,0.831779905,0.363766909
243.01,0,0.035075165,0.497134649,0.55473205,0.539866526,0.833051861,0.358643269
257.01,1,0.002926737,0.145399562,0.060155036,0.54056902,0,0.568655045
258.01,0,0.0079106,0.452695245,0.415011616,0.615133443,0.826699836,0.610189839
270.01,1,0.009044449,0.407703939,0.017583795,0.101685985,0.938420641,0.1191878
270.02,1,0.007322499,0.407703939,0.017583795,0.101685985,0.938420641,0.1191878
270.03,1,0.00218173,0.407703939,0.017583795,0.101685985,0.938420641,0.1191878
273.01,0,0.006860629,0.482014062,0.083040652,0.234035844,0.886103684,0.190051409
275.01,0,0.023926938,0.45026839,0.113317324,0.464348437,0.848526683,0.307613659
276.01,0,0.012428046,0.419634082,0.275641617,0.596066034,0.807027171,0.444449869
390.01,0,0.005941434,0.362014818,0.130870378,0.588243759,0.814052014,0.301878285
396.01,1,0.000686037,0.060474786,0.025002933,0.585934327,0.860509442,0.374749418
396.02,1,0.00042439,0.060474786,0.025002933,0.585934327,0.860509442,0.374749418
399.01,0,0.001784137,0.42140319,0.083312083,0.312750229,0.847324529,0.282048881
402.01,1,0.000894636,0.242708097,0.035055655,0.386933649,0.848598424,0.25493696
